"¿ù","ÀÏ"," 1h "," 2h "," 3h "," 4h "," 5h "," 6h "," 7h "," 8h "," 9h "," 10h "," 11h "," 12h "," 13h "," 14h "," 15h "," 16h "," 17h "," 18h "," 19h "," 20h "," 21h "," 22h "," 23h "," 24h "," °è "
"04","02","0","0","0","0","0","0","5.4","172.68","548.28","912.36","1152.72","1306.08","1362.24","1346.52","1238.64","1014.36","690.12","323.16","49.56","0","0","0","0","0","10122"
"04","03","0","0","0","0","0","0","9","185.28","525.72","865.92","1110.84","1279.8","1368.84","1356.6","1244.76","1032.72","726.72","348.6","52.8","0","0","0","0","0","10108"
"04","04","0","0","0","0","0","0","8.04","115.56","491.28","857.52","1091.52","1227.6","1293.36","1269.84","1136.64","867.6","564.36","289.08","56.04","0","0","0","0","0","9268"
"04","05","0","0","0","0","0","0","8.04","68.52","178.56","380.04","852.84","889.32","740.16","855.12","947.64","736.2","509.16","247.32","45","0","0","0","0","0","6458"
"04","06","0","0","0","0","0","0","11.64","163.92","469.8","783.12","1008.6","1157.28","1203.24","1162.2","1037.28","823.2","509.04","219.84","38.16","0","0","0","0","0","8587"
"04","07","0","0","0","0","0","0","0","14.64","49.92","90","123.24","180.96","178.2","12.84","0","32.28","38.16","26.04","0","0","0","0","0","0","746"
"04","08","0","0","0","0","0","0","11.52","153.36","510.96","813.48","1069.08","1202.52","1127.28","1211.88","1030.32","857.76","560.04","214.44","42.84","0","0","0","0","0","8805"
"04","09","0","0","0","0","0","0","10.68","111.48","345.6","625.56","624.6","150.84","265.32","47.64","37.44","12.48","8.04","0","0","0","0","0","0","0","2240"
"04","10","0","0","0","0","0","0","0","32.64","50.88","71.76","86.76","120.72","273.36","222.12","183.36","117","211.32","77.16","10.56","0","0","0","0","0","1458"
"04","11","0","0","0","0","0","0","12.72","129.6","245.28","500.64","667.68","620.04","729.84","663.12","481.44","563.88","416.28","225.6","42.24","0","0","0","0","0","5298"
"04","12","0","0","0","0","0","0","16.44","178.2","509.64","853.8","1078.92","1212.24","1046.28","1262.52","1166.64","970.44","639.48","249.84","53.76","0","0","0","0","0","9238"
"04","13","0","0","0","0","0","0","9.24","135.84","262.2","584.88","607.8","737.4","1046.76","633","641.52","705.72","644.76","271.68","76.2","0","0","0","0","0","6357"
"04","14","0","0","0","0","0","0","0.6","55.56","126.6","231.12","108","102.48","164.76","121.68","419.64","455.64","601.44","331.08","60.96","0","0","0","0","0","2780"
"04","15","0","0","0","0","0","0","18.36","208.68","567","895.56","1104.12","1226.16","1288.92","1272.84","1156.44","958.92","653.4","290.76","57.96","0","0","0","0","0","9699"
"04","16","0","0","0","0","0","0","20.52","180.12","554.4","855.36","988.2","986.4","888.96","748.68","755.4","539.28","384.84","164.28","31.2","0","0","0","0","0","7098"
"04","17","0","0","0","0","0","0","11.04","51","370.92","696.96","935.64","939.36","822.96","601.32","1058.28","905.64","506.16","189","75","0","0","0","0","0","7163"
"04","18","0","0","0","0","0","0","20.4","200.52","537.72","846.6","1077","1179.24","1191.96","1196.52","1096.56","893.88","624","286.32","58.8","0","0","0","0","0","9210"
"04","19","0","0","0","0","0","0","0","54","136.8","219.24","189.48","207.12","448.8","224.16","430.92","437.04","129.48","45.72","15.96","0","0","0","0","0","2539"
"04","20","0","0","0","0","0","0","25.92","197.52","527.16","843.48","1061.76","1186.68","1227.12","1188.84","1076.04","889.2","625.2","316.92","75.6","0.48","0","0","0","0","9242"
"04","21","0","0","0","0","0","0","35.4","220.68","503.76","570.12","437.4","610.92","875.88","858.84","574.2","404.88","284.88","117.36","33.96","0","0","0","0","0","5528"
"04","22","0","0","0","0","0","0","34.44","234.6","555.48","838.32","1029.12","1154.88","1201.56","1178.64","1062.36","789.84","637.68","258.48","66.6","0.24","0","0","0","0","9042"
"04","23","0","0","0","0","0","0","0","28.68","83.76","107.28","124.2","125.04","136.08","214.92","371.28","168.36","120.36","59.16","8.04","0","0","0","0","0","1547"
"04","24","0","0","0","0","0","0","1.08","82.56","85.56","402.96","247.44","209.52","311.04","218.64","145.92","140.52","111.12","57.24","20.52","0","0","0","0","0","2034"
"04","25","0","0","0","0","0","0","12.72","71.28","66.12","205.8","215.52","531","450.96","288","152.76","152.16","43.2","5.28","3","0","0","0","","","2198"
"04","26","0","0","0","0","0","0","0","0","0","0","0","25.08","166.68","186.6","185.16","110.4","126.72","48.6","13.8","0","0","0","0","0","863"
"04","27","0","0","0","0","0","0","47.16","273.36","599.88","847.32","1033.8","1234.8","1076.64","1296.84","895.32","464.4","299.4","70.08","14.76","0","0","0","0","0","8154"
"04","28","0","0","0","0","0","0","7.08","38.64","78.96","121.92","207.6","285.6","334.92","572.28","718.8","643.08","465.36","220.32","58.2","0.36","0","0","0","0","3753"
"04","29","0","0","0","0","0","0","1.92","24.84","53.16","69.96","0","0","0","0","0","27.48","52.92","32.88","1.56","0","0","0","0","0","265"
"04","30","0","0","0","0","0","0","31.44","97.08","171.24","308.4","431.04","567.6","918.72","1159.08","810.48","878.16","704.88","309.24","135.24","3.96","0","0","0","0","6527"
"05","01","0","0","0","0","0","0","36.36","147.48","400.68","641.52","770.04","1031.16","1158.72","1112.16","919.8","855.6","636.24","348.48","78.12","1.8","0","0","0","0","8138"
"05","02","0","0","0","0","0","0","56.28","295.44","628.92","907.2","1114.68","1266.12","1318.56","1279.8","1177.56","992.88","718.2","385.08","98.4","3.12","0","0","0","0","10242"
"05","03","0","0","0","0","0","0","57.12","291.12","623.28","899.76","1088.52","1191.48","1231.32","1194.6","1098.96","942.48","686.4","366.12","99.6","3.36","0","0","0","0","9774"
"05","04","0","0","0","0","0","0","60.6","281.76","588.36","723.96","958.32","1018.32","1029.6","828","816.36","724.56","495.48","254.04","102.24","1.8","0","0","0","0","7883"
"05","05","0","0","0","0","0","0","58.44","257.52","543.36","869.4","907.2","1161.48","1199.4","1196.28","1088.88","915.12","608.28","260.64","97.68","4.56","0","0","0","0","9168"
"05","06","0","0","0","0","0","0","67.08","261.24","592.44","936.24","1175.64","1313.76","1376.76","1350","1236","1036.68","768.72","417.12","106.32","4.32","0","0","0","0","10642"
"05","07","0","0","0","0","0","0","64.2","326.52","653.64","944.76","1148.76","1252.08","1273.2","1262.76","1176.24","992.52","726.6","395.88","106.8","4.44","0","0","0","0","10328"
"05","08","0","0","0","0","0","0.24","84.48","319.32","562.32","875.64","1016.52","773.64","955.32","906.48","705.24","612.48","427.2","236.76","72.48","3.48","0","0","0","0","7552"
"05","09","0","0","0","0","0","0","17.64","89.28","330.6","617.88","1114.92","1234.56","1235.28","1241.76","1144.44","966.6","701.4","341.4","116.52","8.28","0","0","0","0","9161"
"05","10","0","0","0","0","0","0","72.96","257.64","517.8","876.72","1045.32","1032","1162.56","1029.84","1099.08","941.4","681.24","364.2","113.76","4.68","0","0","0","0","9199"
"05","11","0","0","0","0","0","0.12","69.72","294.72","609.36","874.68","1063.08","1183.92","1239.24","1174.08","1025.76","923.88","548.28","271.44","92.16","4.68","0","0","0","0","9375"
"05","12","0","0","0","0","0","0","77.16","250.2","536.64","795.6","1030.2","936.84","1174.68","1102.68","1080.36","891.72","658.08","381.84","109.92","5.76","0","0","0","0","9032"
"05","13","0","0","0","0","0","0","62.76","286.56","567.12","850.68","1049.76","1130.88","945.6","1085.04","990.6","735.36","472.56","232.92","60.12","0.48","0","0","0","0","8470"
"05","14","0","0","0","0","0","0","60.6","160.68","447.36","411.72","905.16","1021.44","1066.92","1142.52","1018.92","851.04","619.8","332.16","89.76","6","0","0","0","0","8134"
"05","15","0","0","0","0","0","0","68.88","297.96","525.72","731.76","907.92","917.88","1128.24","1116.72","1005.84","830.76","575.52","336.96","118.56","12.48","0","0","0","0","8575"
"05","16","0","0","0","0","0","0","61.92","209.88","291","549.48","1035.72","1142.64","1178.52","1155.24","1021.08","879.24","653.64","365.16","105.48","7.2","0","0","0","0","8656"
"05","17","0","0","0","0","0","2.04","107.64","272.76","573","727.92","742.44","713.64","805.68","567","285.84","115.32","49.92","15.96","0","0","0","0","0","0","4979"
"05","18","0","0","0","0","0","0","0","4.68","100.08","414.24","431.88","792.84","383.28","400.44","471.48","218.88","99.36","117.96","79.68","3.84","0","0","0","0","3519"
"05","19","0","0","0","0","0","0","0","46.8","121.2","219.48","296.52","336.48","238.32","170.28","117.84","135.84","165.96","136.32","50.04","0","0","0","0","0","2035"
"05","20","0","0","0","0","0","0","12.84","129.12","279.12","530.76","725.64","488.16","1029.84","1216.44","1236.36","981","754.32","438.6","134.28","10.92","0","0","0","0","7967"
"05","21","0","0","0","0","0","2.4","79.68","343.8","666.24","922.92","1097.52","1233","1286.16","1266.72","1156.08","975.6","722.76","407.28","123.36","10.44","0","0","0","0","10294"
"05","22","0","0","0","0","0","2.16","81.36","333.84","653.16","909","1096.32","1217.88","1248.36","1219.32","1109.88","944.28","706.32","394.8","119.04","9.96","0","0","0","0","10046"
"05","23","0","0","0","0","0","1.2","77.16","285.36","593.4","863.04","1061.04","1166.88","1197.96","1168.2","1068.12","907.08","669.96","373.08","117.12","10.44","0","0","0","0","9560"
"05","24","0","0","0","0","0","0.24","76.32","278.76","549.12","814.2","1002.48","1099.08","1152.72","1128.96","1035.24","874.08","602.04","320.88","122.04","11.16","0","0","0","0","9067"
"05","25","0","0","0","0","0","3.72","78.24","165.72","522.96","697.32","873.72","1113.24","1055.52","1142.88","986.4","599.64","361.44","252.84","112.68","3","0","0","0","0","7969"
"05","26","0","0","0","0","0","5.28","109.2","251.04","502.68","651.12","846.24","846.6","777.36","376.32","358.68","238.44","173.76","68.88","22.92","0","0","0","0","0","5229"
"05","27","0","0","0","0","0","0","0","0","26.64","46.32","42.84","71.16","253.32","317.76","132.72","81.12","23.16","11.52","0.36","0","0","0","0","0","1007"
"05","28","0","0","0","0","0","0.12","72.6","234","625.8","824.4","1025.04","1271.16","1109.16","1072.2","1047","859.68","760.56","347.52","143.76","18.72","0","0","0","0","9412"
"05","29","0","0","0","0","0","4.2","92.76","329.04","625.68","871.92","1038.36","1156.68","1218.84","1190.4","1086.24","914.04","686.04","390.6","133.8","15.12","0","0","0","0","9754"
"05","30","0","0","0","0","0","1.32","132.48","189.72","546.48","676.56","906.72","1092.96","940.8","818.64","451.44","263.76","113.76","37.08","35.04","1.44","0","0","0","0","6208"
"05","31","0","0","0","0","0","0","2.04","36.12","129","254.76","858.36","1136.88","1161.48","1152.96","767.16","829.92","614.64","383.4","150.96","19.56","0","0","0","0","7497"
"06","01","0","0","0","0","0","0.96","85.92","277.92","436.2","617.4","1048.32","1049.52","1155.6","981.24","737.16","609.96","446.28","205.44","122.04","17.16","0","0","0","0","7791"
"06","02","0","0","0","0","0","1.68","78.96","324.48","561.12","819.72","1117.32","1166.64","1170.6","928.44","929.04","750.72","689.64","394.44","134.28","15.48","0","0","0","0","9083"
"06","03","0","0","0","0","0","3.96","94.68","312.12","588.84","823.92","1009.8","1101.12","1127.88","1109.64","1009.68","876.96","649.92","374.16","153.12","22.32","0","0","0","0","9258"
"06","04","0","0","0","0","0","2.28","89.76","293.16","582.84","835.2","993.6","1095.36","1113.84","1033.56","927","819.24","599.4","346.2","134.16","20.64","0","0","0","0","8886"
"06","05","0","0","0","0","0","0","80.76","294.48","557.52","828.72","1010.04","1098","1142.52","1122.96","1034.64","870","640.68","372.72","132.6","14.52","0","0","0","0","9200"
"06","06","0","0","0","0","0","0","95.28","249.96","488.64","607.8","509.16","480.84","342.48","419.52","206.88","138.72","67.8","39","0","0","0","","","","3646"
"06","07","0","0","0","0","0","0","0","0","0","0","167.76","318.36","397.2","832.68","434.52","264.12","82.2","61.68","24.84","9","0","0","0","0","2592"
"06","08","0","0","0","0","0","0","32.52","120.24","160.44","740.88","771.84","954.72","478.68","675.24","799.8","458.04","417.6","291.24","41.16","1.32","0","0","0","0","5944"
"06","09","0","0","0","0","0","1.56","87.24","312.72","548.28","603.72","927","995.4","922.56","812.04","800.4","872.88","520.2","266.64","116.52","20.16","0","0","0","0","7807"
"06","10","0","0","0","0","0","1.2","84.48","228.96","415.56","753.6","580.56","556.92","480.36","568.8","455.76","95.64","115.68","168.72","61.08","0","0","0","0","0","4567"
"06","11","0","0","0","0","0","0","41.04","155.64","274.8","609.36","711.96","628.8","228.48","233.76","633.96","207.96","232.08","418.08","148.44","19.92","0","0","0","0","4544"
"06","12","0","0","0","0","0","0","52.92","196.2","436.08","748.8","940.2","1113.24","1221.72","1045.44","826.44","913.08","602.88","201.12","80.04","15.48","0","0","0","0","8394"
"06","13","0","0","0","0","0","2.28","86.52","305.76","584.64","824.04","1013.4","1015.32","961.2","1048.8","973.32","650.52","332.28","213.24","101.76","12","0","0","0","0","8125"
